clip_id,caption,P_tu_dong,sai,thieu,ghi_chu
dev_000294,No salient sound event was detected.,,,,
dev_000032,Applause and cheering is heard.,applause_cheering,,,
dev_000706,Objects or dishes falling is followed by a person shouting.,object_drop_dishes;shout_yell,,,
dev_000334,"A door slamming, running footsteps, a person screaming, a person screaming, running footsteps and glass breaking are heard at the same time.",door_slam;glass_breaking;running_footsteps;scream,,,
dev_000942,No salient sound event was detected.,,,,
dev_000634,People talking is heard.,speech_normal,,,
dev_001012,An explosion is followed by glass breaking.,explosion;glass_breaking,,,
dev_001037,"Objects or dishes falling, glass breaking, running footsteps, a person shouting and people talking are heard at the same time.",glass_breaking;object_drop_dishes;running_footsteps;shout_yell;speech_normal,,,
dev_001198,No salient sound event was detected.,,,,
dev_001435,A vehicle crash is heard.,vehicle_crash,,,
dev_000869,"Fireworks, applause and cheering, fireworks, fireworks, applause and cheering, fireworks, fireworks, applause and cheering and fireworks are heard at the same time.",applause_cheering;fireworks,,,
dev_000932,"An alarm bell is followed by running footsteps, a person shouting, fireworks and running footsteps.",alarm_bell;fireworks;running_footsteps;shout_yell,,,
dev_000454,No salient sound event was detected.,,,,
dev_001428,Fireworks is heard.,fireworks,,,
dev_001374,"Applause and cheering, a person shouting, applause and cheering, a person shouting, applause and cheering, a person shouting, applause and cheering and a person shouting are heard at the same time.",applause_cheering;shout_yell,,,
dev_001334,"An alarm bell is followed by applause and cheering, an alarm bell, fireworks, fireworks, running footsteps, running footsteps, fireworks, running footsteps, running footsteps, a door slamming, an alarm bell and a person shouting.",alarm_bell;applause_cheering;door_slam;fireworks;running_footsteps;shout_yell,,,
dev_001330,No salient sound event was detected.,,,,
dev_000631,Fireworks is followed by fireworks.,fireworks,,,
dev_000924,Running footsteps and a door slamming are heard at the same time.,door_slam;running_footsteps,,,
dev_000948,Objects or dishes falling is followed by applause and cheering and glass breaking.,applause_cheering;glass_breaking;object_drop_dishes,,,
dev_000689,No salient sound event was detected.,,,,
dev_000720,A vehicle crash is heard.,vehicle_crash,,,
dev_000073,People talking is followed by laughter.,laughter;speech_normal,,,
dev_000418,"A person shouting is followed by a person shouting, glass breaking, a person shouting, glass breaking, a gunshot, applause and cheering, running footsteps and a door slamming.",applause_cheering;door_slam;glass_breaking;gunshot;running_footsteps;shout_yell,,,
dev_000895,No salient sound event was detected.,,,,
dev_001378,A door slamming is heard.,door_slam,,,
dev_000637,Glass breaking and a person shouting are heard at the same time.,glass_breaking;shout_yell,,,
